"District","District1","District2","District3","District4","Office","Name","Party","Picture","Bio"
"leg district 29","STATE - LEGISLATIVE",,"State Representative - District 29",,"State Representative - District 29","Christine Marie Scianna","Democratic","/Custom/Picture/2456","/Custom/CandidateDetail/?id=5721"
"leg district 29","STATE - LEGISLATIVE",,"State Representative - District 29",,"State Representative - District 29","James  Taylor","Republican","/Custom/Picture/2306","/Custom/CandidateDetail/?id=5539"
"leg district 29","STATE - LEGISLATIVE",,"State Representative - District 29",,"State Representative - District 29","Steve Montenegro","Republican","/Custom/Picture/2312","/Custom/CandidateDetail/?id=5545"
"leg district 30","STATE - LEGISLATIVE",,"State Senator - District 30",,"State Senator - District 30","Leo Biasiucci","Republican","/Custom/Picture/2338","/Custom/CandidateDetail/?id=5572"
"leg district 30","STATE - LEGISLATIVE",,"State Representative - District 30",,"State Representative - District 30","Brian McMahan","Democratic","/Custom/Picture/2448","/Custom/CandidateDetail/?id=5682"
"leg district 30","STATE - LEGISLATIVE",,"State Representative - District 30",,"State Representative - District 30","Caroline Strecker","Republican","/Custom/Picture/0","/Custom/CandidateDetail/?id=5723"
"leg district 30","STATE - LEGISLATIVE",,"State Representative - District 30",,"State Representative - District 30","Catherine Lopez-Rajaniemi","Republican","/Custom/Picture/2522","/Custom/CandidateDetail/?id=5722"
"leg district 30","STATE - LEGISLATIVE",,"State Representative - District 30",,"State Representative - District 30","David Rose","Republican","/Custom/Picture/2320","/Custom/CandidateDetail/?id=5553"
"leg district 30","STATE - LEGISLATIVE",,"State Representative - District 30",,"State Representative - District 30","Grace Hecht","Republican","/Custom/Picture/2419","/Custom/CandidateDetail/?id=5659"
"leg district 30","STATE - LEGISLATIVE",,"State Representative - District 30",,"State Representative - District 30","Mike Gannuscio","Republican","/Custom/Picture/2310","/Custom/CandidateDetail/?id=5543"
"County Apache","COUNTY","Apache",,"Attorney","Attorney","Jasmine Blackwater-Nygren","Democratic","/Custom/Picture/0","/Custom/CandidateDetail/?id=5736"
"County Cochise","COUNTY","Cochise",,"Recorder","Recorder","Billy Cloud","Republican","/Custom/Picture/0","/Custom/CandidateDetail/?id=5739"
"County Gila","COUNTY","Gila",,"Recorder","Recorder","Wendy Mannigel-Smith","Republican","/Custom/Picture/2503","/Custom/CandidateDetail/?id=5741"
"County La Paz","COUNTY","La Paz",,"Assessor","Assessor","Kari Ann Noeltner","Republican","/Custom/Picture/2295","/Custom/CandidateDetail/?id=5526"
"County La Paz ","COUNTY","La Paz ",,"County School Superintendent","County School Superintendent","Lonnie  Lewis","Republican","/Custom/Picture/2286","/Custom/CandidateDetail/?id=5494"
"County Pima","COUNTY","Pima",,"Board of Supervisors Dist. 5","Board of Supervisors Dist. 5","Andrés Cano","Democratic","/Custom/Picture/2424","/Custom/CandidateDetail/?id=5661"
"County Santa Cruz","COUNTY","Santa Cruz",,"County School Superintendent","County School Superintendent","Maya Donnelly","Democratic","/Custom/Picture/0","/Custom/CandidateDetail/?id=5523"
"County Santa Cruz","COUNTY","Santa Cruz",,"County School Superintendent","County School Superintendent","Sonia Sanchez","Democratic","/Custom/Picture/2491","/Custom/CandidateDetail/?id=5746"
"County Yavapai","COUNTY","Yavapai",,"Board of Supervisors Dist. 2","Board of Supervisors Dist. 2","Marie Moore","Republican","/Custom/Picture/2521","/Custom/CandidateDetail/?id=5748"
"County Yavapai","COUNTY","Yavapai",,"Board of Supervisors Dist. 2","Board of Supervisors Dist. 2","Wiley Cline","Republican","/Custom/Picture/0","/Custom/CandidateDetail/?id=5749"
"County Flagstaff","COUNTY - JUDICIAL","Flagstaff",,"Constable","Constable","Ernesto Fonseca","Democratic","/Custom/Picture/0","/Custom/CandidateDetail/?id=5837"
"County Williams","COUNTY - JUDICIAL","Williams",,"Constable","Constable","Gregory King","Republican","/Custom/Picture/0","/Custom/CandidateDetail/?id=5838"
"County Apache","COUNTY - LEGISLATIVE","Apache",,"Clerk of the Superior Court","Clerk of the Superior Court","Samceita Begay","Democratic","/Custom/Picture/2497","/Custom/CandidateDetail/?id=5737"
"County Apache","COUNTY - LEGISLATIVE","Apache",,"Clerk of the Superior Court","Clerk of the Superior Court","Wendy Shepherd","Democratic","/Custom/Picture/0","/Custom/CandidateDetail/?id=5738"
"County Cochise","COUNTY - LEGISLATIVE","Cochise",,"Clerk of the Superior Court","Clerk of the Superior Court","Amy Hunley","Republican","/Custom/Picture/2466","/Custom/CandidateDetail/?id=5730"
"County Coconino","COUNTY - LEGISLATIVE","Coconino",,"Clerk of the Superior Court","Clerk of the Superior Court","Bradley Crossland","Democratic","/Custom/Picture/0","/Custom/CandidateDetail/?id=5740"
"County Flagstaff","COUNTY - LEGISLATIVE","Flagstaff",,"Justice of the Peace","Justice of the Peace","Howard Grodman","Democratic","/Custom/Picture/0","/Custom/CandidateDetail/?id=5839"
"County Fredonia","COUNTY - LEGISLATIVE","Fredonia",,"Justice of the Peace","Justice of the Peace","Serena Cutchen","Republican","/Custom/Picture/0","/Custom/CandidateDetail/?id=5849"
"County Gila","COUNTY - LEGISLATIVE","Gila",,"Clerk of the Superior Court","Clerk of the Superior Court","Anita Escobedo","Democratic","/Custom/Picture/2484","/Custom/CandidateDetail/?id=5734"
"County Graham","COUNTY - LEGISLATIVE","Graham",,"Clerk of the Superior Court","Clerk of the Superior Court","Heidi Torrio","Republican","/Custom/Picture/2483","/Custom/CandidateDetail/?id=5735"
"County Greenlee","COUNTY - LEGISLATIVE","Greenlee",,"Clerk of the Superior Court","Clerk of the Superior Court","Madeline Montoya","Democratic","/Custom/Picture/0","/Custom/CandidateDetail/?id=5742"
"County La Paz","COUNTY - LEGISLATIVE","La Paz",,"Clerk of the Superior Court","Clerk of the Superior Court","Hollie Lucas","Republican","/Custom/Picture/0","/Custom/CandidateDetail/?id=5743"
"County Maricopa","COUNTY - LEGISLATIVE","Maricopa",,"Clerk of the Superior Court","Clerk of the Superior Court","Jeff Dial","Republican","/Custom/Picture/2414","/Custom/CandidateDetail/?id=5647"
"County Maricopa","COUNTY - LEGISLATIVE","Maricopa",,"Clerk of the Superior Court","Clerk of the Superior Court","Sebastian Seb Maximiliano Matta","Democratic","/Custom/Picture/2465","/Custom/CandidateDetail/?id=5729"
"County Mohave","COUNTY - LEGISLATIVE","Mohave",,"Clerk of the Superior Court","Clerk of the Superior Court","Christina Spurlock","Republican","/Custom/Picture/2274","/Custom/CandidateDetail/?id=5499"
"County Navajo","COUNTY - LEGISLATIVE","Navajo",,"Clerk of the Superior Court","Clerk of the Superior Court","Michael Sample","Republican","/Custom/Picture/0","/Custom/CandidateDetail/?id=5744"
"County Page","COUNTY - LEGISLATIVE","Page",,"Justice of the Peace","Justice of the Peace","Michael R. Barnes","Democratic","/Custom/Picture/0","/Custom/CandidateDetail/?id=5840"
"County Pima","COUNTY - LEGISLATIVE","Pima",,"Clerk of the Superior Court","Clerk of the Superior Court","James Giacomino","Democratic","/Custom/Picture/2467","/Custom/CandidateDetail/?id=5731"
"County Pinal","COUNTY - LEGISLATIVE","Pinal",,"Clerk of the Superior Court","Clerk of the Superior Court","Rebecca Padilla","Republican","/Custom/Picture/0","/Custom/CandidateDetail/?id=5745"
"County Santa Cruz","COUNTY - LEGISLATIVE","Santa Cruz",,"Clerk of the Superior Court","Clerk of the Superior Court","Juan Pablo Guzman","Democratic","/Custom/Picture/0","/Custom/CandidateDetail/?id=5747"
"County Williams","COUNTY - LEGISLATIVE","Williams",,"Justice of the Peace","Justice of the Peace","Rob Krombeen","Republican","/Custom/Picture/0","/Custom/CandidateDetail/?id=5850"
"County Yavapai","COUNTY - LEGISLATIVE","Yavapai",,"Clerk of the Superior Court","Clerk of the Superior Court","Charlie Van Landingham","Republican","/Custom/Picture/0","/Custom/CandidateDetail/?id=5751"
"County Yuma","COUNTY - LEGISLATIVE","Yuma",,"Clerk of the Superior Court","Clerk of the Superior Court","Bobbie Jo Daily","Republican","/Custom/Picture/2383","/Custom/CandidateDetail/?id=5626"
"County Yuma","COUNTY - LEGISLATIVE","Yuma",,"Clerk of the Superior Court","Clerk of the Superior Court","Malba Alvarez","Republican","/Custom/Picture/2495","/Custom/CandidateDetail/?id=5752"
"City Avondale","CITY - LEGISLATIVE","Avondale",,"City Council","City Council","Bryan Kilgore","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5770"
"City Avondale","CITY - LEGISLATIVE","Avondale",,"City Council","City Council","Levi Johnston","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5771"
"City Avondale","CITY - LEGISLATIVE","Avondale",,"City Council","City Council","Max White","Non-partisan","/Custom/Picture/2523","/Custom/CandidateDetail/?id=5769"
"City Avondale","CITY - LEGISLATIVE","Avondale",,"City Council","City Council","Natosha Edmonds","Non-partisan","/Custom/Picture/2516","/Custom/CandidateDetail/?id=5767"
"City Avondale","CITY - LEGISLATIVE","Avondale",,"City Council","City Council","Patti Nielson","Non-partisan","/Custom/Picture/2518","/Custom/CandidateDetail/?id=5768"
"City Avondale","CITY - LEGISLATIVE","Avondale",,"City Council","City Council","Ramon Sanchez","Non-partisan","/Custom/Picture/2529","/Custom/CandidateDetail/?id=5772"
"City Chandler","CITY - LEGISLATIVE","Chandler",,"Mayor","Mayor","Jeff Weninger","Non-partisan","/Custom/Picture/2565","/Custom/CandidateDetail/?id=5654"
"City Chandler","CITY - LEGISLATIVE","Chandler",,"City Council","City Council","Ron Hardin","Republican","/Custom/Picture/2374","/Custom/CandidateDetail/?id=5614"
"City Flagstaff","CITY - LEGISLATIVE","Flagstaff",,"City Council","City Council","Austin Aslan","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5810"
"City Flagstaff","CITY - LEGISLATIVE","Flagstaff",,"City Council","City Council","C.J. Lucke","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5814"
"City Flagstaff","CITY - LEGISLATIVE","Flagstaff",,"City Council","City Council","Drew Stanley","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5816"
"City Flagstaff","CITY - LEGISLATIVE","Flagstaff",,"City Council","City Council","Khara House","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5813"
"City Flagstaff","CITY - LEGISLATIVE","Flagstaff",,"City Council","City Council","Lori Matthews","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5815"
"City Flagstaff","CITY - LEGISLATIVE","Flagstaff",,"City Council","City Council","Nancy Baca","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5811"
"City Flagstaff","CITY - LEGISLATIVE","Flagstaff",,"City Council","City Council","Patty Hansen","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5812"
"City Fredonia","CITY - LEGISLATIVE","Fredonia",,"Mayor","Mayor","Donald Johnson","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5847"
"City Fredonia","CITY - LEGISLATIVE","Fredonia",,"City Council","City Council","Kenneth Johnson","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5832"
"City Fredonia","CITY - LEGISLATIVE","Fredonia",,"City Council","City Council","Marilyn Lucus","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5833"
"City Fredonia","CITY - LEGISLATIVE","Fredonia",,"City Council","City Council","Michael Gamble","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5831"
"City Goodyear","CITY - LEGISLATIVE","Goodyear",,"City Council","City Council","Brannon Hampton","Non-partisan","/Custom/Picture/2524","/Custom/CandidateDetail/?id=5774"
"City Goodyear","CITY - LEGISLATIVE","Goodyear",,"City Council","City Council","Jason N. Kish","Non-partisan","/Custom/Picture/2530","/Custom/CandidateDetail/?id=5775"
"City Goodyear","CITY - LEGISLATIVE","Goodyear",,"City Council","City Council","Sheri Lauritano","Non-partisan","/Custom/Picture/2512","/Custom/CandidateDetail/?id=5766"
"City Lake Havasu City","CITY - LEGISLATIVE","Lake Havasu City",,"Mayor","Mayor","John Grapentin","Republican","/Custom/Picture/2348","/Custom/CandidateDetail/?id=5586"
"City Mesa","CITY - LEGISLATIVE","Mesa",,"City Council - District 5","City Council - District 5","Danny Hart","Democratic","/Custom/Picture/2520","/Custom/CandidateDetail/?id=5538"
"City Page","CITY - LEGISLATIVE","Page",,"Mayor","Mayor","Bill Diak","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5841"
"City Page","CITY - LEGISLATIVE","Page",,"Mayor","Mayor","Steven R Kidman","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5842"
"City Page","CITY - LEGISLATIVE","Page",,"City Council","City Council","John Kocjan","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5819"
"City Page","CITY - LEGISLATIVE","Page",,"City Council","City Council","Kenna Hettinger","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5818"
"City Page","CITY - LEGISLATIVE","Page",,"City Council","City Council","Michael Farrow","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5817"
"City Page","CITY - LEGISLATIVE","Page",,"City Council","City Council","Michael Cody Woods","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5820"
"City Prescott Valley","CITY - LEGISLATIVE","Prescott Valley",,"Mayor","Mayor","Kell Palguta","Non-partisan","/Custom/Picture/2509","/Custom/CandidateDetail/?id=5759"
"City Prescott Valley","CITY - LEGISLATIVE","Prescott Valley",,"Mayor","Mayor","Lawrence Neigel","Non-partisan","/Custom/Picture/2510","/Custom/CandidateDetail/?id=5760"
"City Prescott Valley","CITY - LEGISLATIVE","Prescott Valley",,"City Council - 2 Year Term","City Council - 2 Year Term","Jason Thornton","Non-partisan","/Custom/Picture/2508","/Custom/CandidateDetail/?id=5761"
"City Prescott Valley","CITY - LEGISLATIVE","Prescott Valley",,"City Council - 2 Year Term","City Council - 2 Year Term","Kymberli Lopez","Non-partisan","/Custom/Picture/2566","/Custom/CandidateDetail/?id=5762"
"City Prescott Valley","CITY - LEGISLATIVE","Prescott Valley",,"City Council - 4 Year Term","City Council - 4 Year Term","Charles Ables","Non-partisan","/Custom/Picture/2507","/Custom/CandidateDetail/?id=5763"
"City Prescott Valley","CITY - LEGISLATIVE","Prescott Valley",,"City Council - 4 Year Term","City Council - 4 Year Term","Kendall Schumacher","Non-partisan","/Custom/Picture/2511","/Custom/CandidateDetail/?id=5764"
"City Prescott Valley","CITY - LEGISLATIVE","Prescott Valley",,"City Council - 4 Year Term","City Council - 4 Year Term","Michael Greer","Non-partisan","/Custom/Picture/2517","/Custom/CandidateDetail/?id=5765"
"City Sedona","CITY - LEGISLATIVE","Sedona",,"Mayor","Mayor","Brian Fultz","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5843"
"City Sedona","CITY - LEGISLATIVE","Sedona",,"Mayor","Mayor","Henry Silbiger","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5844"
"City Sedona","CITY - LEGISLATIVE","Sedona",,"City Council","City Council","Jean Buillet","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5821"
"City Sedona","CITY - LEGISLATIVE","Sedona",,"City Council","City Council","Lita Loesch Boyd","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5825"
"City Sedona","CITY - LEGISLATIVE","Sedona",,"City Council","City Council","Melissa Dunn","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5822"
"City Sedona","CITY - LEGISLATIVE","Sedona",,"City Council","City Council","Rich Gay","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5823"
"City Sedona","CITY - LEGISLATIVE","Sedona",,"City Council","City Council","Tony Hauserman","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5824"
"City Tusayan","CITY - LEGISLATIVE","Tusayan",,"Mayor","Mayor","Clarinda Vail","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5848"
"City Tusayan","CITY - LEGISLATIVE","Tusayan",,"City Council","City Council","Josh Collet","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5835"
"City Williams","CITY - LEGISLATIVE","Williams",,"Mayor","Mayor","John W. Moore","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5846"
"City Williams","CITY - LEGISLATIVE","Williams",,"Mayor","Mayor","Kerry Lynn Carter-Moede","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5845"
"City Williams","CITY - LEGISLATIVE","Williams",,"City Council","City Council","Darlene Foster","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5828"
"City Williams","CITY - LEGISLATIVE","Williams",,"City Council","City Council","Jeremy Peasley","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5830"
"City Williams","CITY - LEGISLATIVE","Williams",,"City Council","City Council","Ken Edes","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5827"
"City Williams","CITY - LEGISLATIVE","Williams",,"City Council","City Council","Lee A. Payne","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5829"
"City Williams","CITY - LEGISLATIVE","Williams",,"City Council","City Council","Michelle Campbell","Non-partisan","/Custom/Picture/0","/Custom/CandidateDetail/?id=5826"
"City Yuma","CITY - LEGISLATIVE","Yuma",,"Mayor","Mayor","Carlos Adams","Non-partisan","/Custom/Picture/2285","/Custom/CandidateDetail/?id=5512"
